train_loss,valid_loss
35194868.0,33863612.0
33660408.0,33356512.0
33142458.0,32624158.0
32410454.0,31974180.0
31759308.0,31479894.0
31267074.0,31119530.0
30910066.0,30856928.0
30650604.0,30662012.0
30457246.0,30509672.0
30303894.0,30381204.0
30172328.0,30265270.0
30052306.0,30156922.0
29939642.0,30055264.0
29833962.0,29960114.0
29735550.0,29870120.0
29643124.0,29783690.0
29554920.0,29700576.0
29469834.0,29619200.0
29385798.0,29538478.0
29302364.0,29460392.0
29221518.0,29384686.0
29143046.0,29307622.0
29064278.0,29227218.0
28984144.0,29144160.0
28903506.0,29059404.0
28823180.0,28973768.0
28743656.0,28889420.0
28665960.0,28809448.0
28591482.0,28735492.0
28520404.0,28666426.0
28450632.0,28599572.0
28378948.0,28533704.0
28304420.0,28469908.0
28230414.0,28408586.0
28160914.0,28346848.0
28094152.0,28280294.0
28025430.0,28207470.0
27953332.0,28131038.0
27879662.0,28055500.0
27807108.0,27983600.0
27736934.0,27914532.0
27668034.0,27845944.0
27598060.0,27776962.0
27526384.0,27708440.0
27454432.0,27641218.0
27383476.0,27573780.0
27313134.0,27503718.0
27242628.0,27431866.0
27172270.0,27359222.0
27101076.0,27287344.0
27028838.0,27221006.0
26959018.0,27156662.0
26889470.0,27089738.0
26817046.0,27028296.0
26747108.0,26973094.0
26676916.0,26924744.0
26609330.0,26871582.0
26541792.0,26815590.0
26476484.0,26763832.0
26411446.0,26713998.0
26349524.0,26656522.0
26285732.0,26600644.0
26223054.0,26547476.0
26159766.0,26490462.0
26096516.0,26429450.0
26034524.0,26367554.0
25972340.0,26305674.0
25911150.0,26241778.0
25849296.0,26180080.0
25788858.0,26122244.0
25728394.0,26065014.0
25668342.0,26005094.0
25607838.0,25947912.0
25548128.0,25895626.0
25488258.0,25845632.0
25428764.0,25792568.0
25369244.0,25735286.0
25309930.0,25675652.0
25250558.0,25617060.0
25191816.0,25560932.0
25133130.0,25507296.0
25074700.0,25454386.0
25016490.0,25400238.0
24958324.0,25345110.0
24900494.0,25290578.0
24842700.0,25237226.0
24784996.0,25182740.0
24727436.0,25125674.0
24669930.0,25068902.0
24612716.0,25015300.0
24555562.0,24963912.0
24498578.0,24911324.0
24441722.0,24857630.0
24385000.0,24805500.0
24328450.0,24754642.0
24271966.0,24702262.0
24215616.0,24648484.0
24159432.0,24595940.0
24103390.0,24544724.0
24047534.0,24492872.0
23991778.0,24440458.0
23936218.0,24388832.0
23880774.0,24337064.0
23825494.0,24283802.0
23770342.0,24230558.0
23715316.0,24178216.0
23660438.0,24125618.0
23605694.0,24072156.0
23551096.0,24019818.0
23496622.0,23968742.0
23442288.0,23916726.0
23388086.0,23863966.0
23334034.0,23812622.0
23280098.0,23761868.0
23226310.0,23709670.0
23172656.0,23657916.0
23119144.0,23607398.0
23065766.0,23556284.0
23012520.0,23504292.0
22959416.0,23453762.0
22906438.0,23403044.0
22853598.0,23351116.0
22800884.0,23300402.0
22748306.0,23250124.0
22695858.0,23198592.0
22643540.0,23148384.0
22591354.0,23098116.0
22539308.0,23047382.0
22487384.0,22997488.0
22435590.0,22947714.0
22383922.0,22897510.0
22332388.0,22848000.0
22280976.0,22798656.0
22229696.0,22749120.0
22178536.0,22700116.0
22127492.0,22650980.0
22076588.0,22602434.0
22025792.0,22553312.0
21975122.0,22504836.0
21924566.0,22456668.0
21874136.0,22408008.0
21823818.0,22360132.0
21773618.0,22312476.0
21723536.0,22264458.0
21673568.0,22217404.0
21623718.0,22169516.0
21573982.0,22122598.0
21524368.0,22075346.0
21474872.0,22028244.0
21425490.0,21982152.0
21376240.0,21934766.0
21327102.0,21888770.0
21278090.0,21842048.0
21229194.0,21795614.0
21180436.0,21749216.0
21131796.0,21703060.0
21083282.0,21656632.0
21034890.0,21610670.0
20986616.0,21564590.0
20938476.0,21518364.0
20890446.0,21472476.0
20842540.0,21426294.0
20794760.0,21380818.0
20747098.0,21334540.0
20699546.0,21289656.0
20652118.0,21242946.0
20604806.0,21198892.0
20557620.0,21151726.0
20510552.0,21108622.0
20463598.0,21061108.0
20416776.0,21018854.0
20370060.0,20970976.0
20323454.0,20929184.0
20276954.0,20881486.0
20230558.0,20839864.0
20184262.0,20792812.0
20138074.0,20750500.0
20091980.0,20704722.0
20046008.0,20661160.0
20000164.0,20617168.0
19954450.0,20572390.0
19908858.0,20529822.0
19863404.0,20484118.0
19818046.0,20442254.0
19772808.0,20396192.0
19727660.0,20354772.0
19682612.0,20308922.0
19637668.0,20267470.0
19592822.0,20222096.0
19548074.0,20180260.0
19503414.0,20136064.0
19458870.0,20093370.0
19414446.0,20050206.0
19370138.0,20006776.0
19325946.0,19964426.0
19281858.0,19920452.0
19237886.0,19878880.0
19194002.0,19834492.0
19150216.0,19793280.0
19106520.0,19749132.0
19062908.0,19707926.0
19019380.0,19664288.0
18975928.0,19622738.0
18932580.0,19580026.0
18889332.0,19538042.0
18846184.0,19495982.0
18803144.0,19453530.0
18760184.0,19411954.0
18717320.0,19369412.0
18674550.0,19327984.0
18631862.0,19285534.0
18589248.0,19244288.0
18546724.0,19202022.0
18504284.0,19160702.0
18461920.0,19118688.0
18419632.0,19077186.0
18377424.0,19035506.0
