train_loss,valid_loss
30928198.0,32197540.0
30277154.0,31542598.0
29661512.0,30925700.0
29080340.0,30384350.0
28569442.0,29931148.0
28141556.0,29555690.0
27786862.0,29239142.0
27487294.0,28963624.0
27226078.0,28714772.0
26989928.0,28482344.0
26769336.0,28259726.0
26558104.0,28042900.0
26352446.0,27829500.0
26150130.0,27618176.0
25949884.0,27408174.0
25751014.0,27199094.0
25553164.0,26990730.0
25356154.0,26782984.0
25159902.0,26575820.0
24964388.0,26369238.0
24769610.0,26163268.0
24575606.0,25957970.0
24382400.0,25753382.0
24190040.0,25549588.0
23998568.0,25346646.0
23808032.0,25144640.0
23618484.0,24943630.0
23429960.0,24743680.0
23242510.0,24544850.0
23056158.0,24347184.0
22870940.0,24150734.0
22686876.0,23955528.0
22503982.0,23761602.0
22322276.0,23568972.0
22141758.0,23377654.0
21962434.0,23187652.0
21784298.0,22998978.0
21607352.0,22811630.0
21431584.0,22625600.0
21256992.0,22440888.0
21083568.0,22257484.0
20911308.0,22075376.0
20740204.0,21894564.0
20570250.0,21715034.0
20401450.0,21536776.0
20233794.0,21359776.0
20067284.0,21184030.0
19901912.0,21009522.0
19737678.0,20836236.0
19574580.0,20664162.0
19412612.0,20493288.0
19251772.0,20323596.0
19092046.0,20155080.0
18933438.0,19987712.0
18775934.0,19821486.0
18619522.0,19656394.0
18464200.0,19492416.0
18309960.0,19329550.0
18156790.0,19167782.0
18004686.0,19007108.0
17853644.0,18847524.0
17703646.0,18689020.0
17554694.0,18531596.0
17406778.0,18375252.0
17259898.0,18219980.0
17114038.0,18065780.0
16969198.0,17912654.0
16825374.0,17760594.0
16682550.0,17609604.0
16540731.0,17459676.0
16399905.0,17310806.0
16260064.0,17162990.0
16121206.0,17016220.0
15983320.0,16870496.0
15846406.0,16725808.0
15710448.0,16582151.0
15575450.0,16439516.0
15441396.0,16297900.0
15308291.0,16157291.0
15176121.0,16017679.0
15044881.0,15879064.0
14914569.0,15741433.0
14785176.0,15604778.0
14656701.0,15469091.0
14529135.0,15334365.0
14402473.0,15200596.0
14276711.0,15067771.0
14151841.0,14935887.0
14027862.0,14804934.0
13904764.0,14674910.0
13782544.0,14545808.0
13661197.0,14417619.0
13540715.0,14290343.0
13421100.0,14163973.0
13302338.0,14038503.0
13184431.0,13913932.0
13067369.0,13790256.0
12951153.0,13667465.0
12835771.0,13545563.0
12721225.0,13424541.0
12607507.0,13304395.0
12494613.0,13185124.0
12382536.0,13066717.0
12271274.0,12949176.0
12160821.0,12832496.0
12051176.0,12716667.0
11942327.0,12601687.0
11834276.0,12487554.0
11727018.0,12374261.0
11620545.0,12261803.0
11514856.0,12150172.0
11409943.0,12039367.0
11305806.0,11929380.0
11202439.0,11820208.0
11099836.0,11711847.0
10997995.0,11604289.0
10896909.0,11497529.0
10796577.0,11391565.0
10696993.0,11286392.0
10598153.0,11182003.0
10500053.0,11078396.0
10402688.0,10975567.0
10306057.0,10873510.0
10210151.0,10772221.0
10114970.0,10671697.0
10020508.0,10571932.0
9926761.0,10472924.0
9833725.0,10374667.0
9741396.0,10277159.0
9649771.0,10180396.0
9558848.0,10084372.0
9468618.0,9989085.0
9379080.0,9894529.0
9290230.0,9800701.0
9202062.0,9707597.0
9114575.0,9615211.0
9027765.0,9523543.0
8941626.0,9432585.0
8856157.0,9342335.0
8771350.0,9252787.0
8687205.0,9163937.0
8603715.0,9075783.0
8520881.0,8988322.0
8438695.0,8901545.0
8357155.0,8815451.0
8276257.0,8730036.0
8195998.0,8645296.0
8116373.0,8561228.0
8037379.0,8477826.0
7959012.5,8395087.0
7881269.5,8313007.0
7804147.0,8231584.0
7727640.0,8150812.0
7651746.0,8070688.0
7576462.0,7991206.0
7501781.5,7912368.0
7427706.0,7834163.0
7354227.0,7756595.0
7281344.0,7679651.5
7209051.0,7603338.0
7137347.5,7527642.0
7066227.5,7452568.0
6995689.0,7378106.0
6925727.5,7304254.0
6856340.0,7231010.5
6787523.0,7158368.0
6719272.5,7086327.0
6651586.0,7014882.0
6584460.5,6944028.5
6517891.5,6873765.0
6451876.0,6804083.0
6386410.0,6734985.5
6321490.0,6666464.0
6257114.0,6598519.0
6193278.0,6531143.0
6129978.5,6464334.0
6067212.5,6398089.5
6004977.0,6332405.0
5943267.5,6267276.5
5882080.5,6202704.5
5821415.5,6138677.5
5761265.0,6075200.0
5701629.0,6012263.5
5642503.5,5949868.0
5583885.5,5888009.0
5525771.5,5826682.0
5468157.5,5765884.0
5411041.5,5705611.5
5354419.5,5645861.5
5298288.0,5586630.5
5242644.5,5527916.0
5187486.0,5469713.0
5132809.5,5412018.5
5078610.5,5354830.5
5024887.5,5298145.0
4971637.0,5241958.0
4918855.0,5186267.0
4866538.5,5131067.5
4814686.0,5076357.0
4763293.0,5022134.5
4712357.0,4968393.0
4661875.0,4915131.0
4611844.0,4862345.5
4562259.0,4810033.5
4513121.5,4758191.0
4464423.5,4706816.0
4416165.0,4655904.0
4368342.0,4605453.5
4320952.5,4555460.5
4273993.5,4505919.5
4227459.0,4456832.0
4181350.25,4408192.0
4135662.75,4359995.5
4090392.25,4312242.0
4045538.0,4264926.5
4001095.5,4218046.5
3957062.75,4171599.25
3913436.75,4125582.0
3870214.25,4079991.0
3827393.5,4034823.0
3784970.0,3990075.75
3742940.75,3945747.0
3701306.0,3901831.25
3660060.0,3858328.0
3619201.25,3815232.5
3578726.25,3772544.25
3538632.5,3730258.5
3498918.0,3688371.75
3459578.5,3646882.5
3420613.0,3605786.75
3382016.75,3565083.5
3343789.25,3524768.5
3305927.0,3484838.25
3268427.0,3445290.75
3231286.25,3406122.25
3194502.25,3367332.75
3158073.5,3328915.5
3121994.5,3290870.25
3086266.0,3253193.75
3050883.75,3215884.5
3015846.0,3178938.25
2981149.75,3142351.0
2946791.0,3106122.25
2912770.0,3070249.5
2879082.75,3034726.25
2845724.5,2999553.5
2812695.25,2964728.25
2779993.25,2930247.5
2747614.75,2896107.75
2715557.0,2862306.75
2683817.5,2828843.5
2652395.25,2795713.0
2621286.0,2762913.25
2590488.25,2730442.5
2559998.5,2698298.25
2529816.0,2666476.0
2499935.75,2634974.75
2470357.5,2603793.25
2441079.5,2572926.0
2412097.25,2542372.0
2383409.25,2512130.75
2355014.75,2482195.5
2326908.0,2452566.75
2299089.0,2423241.75
2271556.5,2394217.75
2244306.0,2365492.0
2217336.0,2337060.0
2190642.75,2308923.75
2164227.25,2281078.75
2138084.75,2253522.75
2112214.5,2226252.0
2086612.125,2199265.0
2061276.125,2172560.75
2036206.375,2146135.25
2011397.75,2119987.5
1986850.625,2094112.875
1962560.0,2068511.125
1938526.25,2043180.375
1914746.75,2018117.125
1891218.5,1993318.875
1867939.625,1968785.25
1844909.5,1944510.625
1822123.125,1920496.875
1799580.75,1896737.25
1777278.5,1873233.875
1755216.375,1849983.125
1733391.75,1826980.625
1711800.375,1804227.125
1690442.875,1781718.375
1669315.875,1759453.75
1648417.875,1737431.625
1627747.875,1715648.0
1607301.5,1694102.0
1587078.875,1672790.625
1567076.625,1651712.625
1547293.25,1630865.125
1527726.625,1610248.0
1508376.625,1589856.625
1489238.875,1569689.625
1470311.875,1549748.125
1451596.375,1530024.625
1433086.125,1510521.25
1414782.75,1491235.375
1396683.625,1472162.5
1378784.875,1453304.75
1361087.875,1434656.125
1343587.5,1416218.25
1326285.25,1397986.0
1309176.375,1379960.25
1292261.625,1362137.875
1275537.5,1344516.0
1259001.625,1327094.5
1242654.375,1309869.875
1226492.375,1292842.5
1210515.0,1276008.625
1194720.0,1259365.75
1179104.25,1242916.0
1163669.5,1226653.125
1148411.375,1210578.375
1133329.25,1194687.5
1118419.625,1178981.625
1103684.125,1163456.125
1089118.125,1148110.75
1074720.875,1132943.375
1060491.375,1117952.875
1046427.9375,1103136.5
1032528.0,1088493.875
1018791.0625,1074022.875
1005215.75,1059720.25
991798.75,1045586.5625
978540.25,1031619.3125
965438.25,1017816.6875
952490.75,1004176.5625
939695.9375,990698.625
927053.625,977380.9375
914561.75,964221.3125
902218.4375,951217.5625
890021.8125,938370.6875
877972.0625,925676.625
866066.0625,913136.0
854303.6875,900744.75
842682.25,888502.9375
831200.5625,876408.25
819857.9375,864461.1875
808653.1875,852657.25
797583.125,840997.5625
786648.5625,829479.1875
775846.5625,818100.875
765176.3125,806860.625
754636.125,795758.6875
744225.6875,784793.125
733943.0,773961.4375
723786.1875,763262.8125
713754.6875,752695.8125
703846.3125,742260.375
694061.6875,731953.5625
684397.875,721774.3125
674853.8125,711721.125
665428.25,701793.125
656120.4375,691989.0
646928.6875,682306.9375
637851.6875,672746.125
628888.75,663305.3125
620038.3125,653982.875
611299.0,644778.375
602670.375,635689.8125
594150.375,626715.875
585738.5,617855.125
577432.6875,609107.375
569233.125,600470.25
561137.375,591942.5625
553144.3125,583524.5
545254.25,575213.4375
537464.75,567009.25
529775.4375,558909.75
522184.71875,550914.9375
514692.1875,543022.125
507295.34375,535231.9375
499994.84375,527542.1875
492789.15625,519951.5
485676.0,512459.4375
478655.46875,505064.0
471725.75,497766.65625
464888.09375,490562.84375
458138.25,483454.0625
451477.5,476437.78125
444903.75,469513.4375
438416.21875,462680.71875
432014.84375,455937.59375
425697.34375,449282.9375
419463.125,442716.78125
413311.9375,436236.90625
407241.96875,429842.78125
401252.1875,423533.90625
395342.6875,417309.125
389511.6875,411167.03125
383758.9375,405107.03125
378082.78125,399127.9375
372482.65625,393229.4375
366958.375,387409.59375
361507.96875,381668.03125
356130.84375,376004.46875
350827.09375,370416.59375
345594.34375,364903.71875
340431.78125,359466.6875
335340.8125,354102.875
330318.21875,348812.21875
325364.3125,343593.4375
320478.03125,338446.0
315658.625,333368.71875
310905.03125,328361.3125
306217.21875,323421.9375
301593.03125,318550.90625
297033.03125,313746.71875
292535.875,309008.6875
288100.65625,304336.21875
283726.9375,299728.78125
279414.28125,295184.125
275160.65625,290703.125
270966.75,286284.1875
266831.0,281927.1875
262753.5,277631.28125
258733.25,273394.25
254768.21875,269217.84375
250860.203125,265099.4375
247006.375,261038.59375
243206.828125,257035.5
239461.09375,253088.3125
235768.140625,249197.171875
232127.84375,245361.078125
228538.859375,241579.234375
225001.0,237850.953125
221513.328125,234175.921875
218075.53125,230552.875
214686.65625,226982.078125
211346.734375,223461.828125
208054.265625,219992.21875
204809.1875,216572.078125
201610.859375,213201.46875
198458.640625,209878.8125
195351.53125,206604.234375
192289.578125,203377.140625
189272.09375,200196.703125
186298.3125,197062.078125
183367.5625,193972.796875
180479.46875,190928.5625
177633.515625,187929.0625
174829.484375,184973.109375
172066.28125,182059.515625
169342.796875,179189.296875
166660.109375,176361.203125
164016.8125,173574.515625
161412.34375,170828.46875
158846.171875,168123.515625
156318.171875,165457.515625
153826.953125,162831.4375
151373.09375,160244.015625
148955.640625,157694.96875
146573.96875,155184.09375
144228.234375,152710.171875
141916.96875,150273.390625
139640.765625,147872.640625
137398.09375,145507.671875
135189.15625,143178.578125
133013.828125,140884.453125
130871.21875,138624.015625
128760.25,136397.984375
126681.515625,134205.21875
124634.0390625,132045.859375
122617.734375,129918.90625
120631.890625,127824.1953125
118676.2421875,125761.328125
116750.4453125,123729.796875
114853.8984375,121728.7734375
112986.1171875,119758.375
111146.890625,117818.09375
109335.9921875,115907.484375
107552.8984375,114026.1796875
105797.2265625,112173.4375
104068.515625,110349.6484375
102366.6875,108553.2578125
100690.6484375,106784.578125
99040.578125,105043.4453125
97416.2890625,103328.890625
95816.9453125,101641.078125
94242.625,99979.3203125
92692.7265625,98343.71875
91167.359375,96733.1171875
89665.2421875,95147.6484375
88186.7265625,93586.5703125
86731.171875,92050.5078125
85299.03125,90537.921875
83888.7421875,89049.1953125
82500.9296875,87583.7578125
81134.9140625,86141.171875
79790.40625,84721.78125
78467.4609375,83324.5234375
77165.2578125,81949.0390625
75883.5390625,80595.421875
74622.2734375,79263.3515625
73381.171875,77952.03125
72159.484375,76661.8984375
70957.640625,75391.9765625
69774.7421875,74142.3046875
68610.8203125,72912.515625
67465.4921875,71702.546875
66338.6328125,70511.921875
65229.9453125,69340.1328125
64138.9921875,68187.3671875
63065.66796875,67052.828125
62009.4921875,65936.7109375
60970.5703125,64838.7578125
59948.58984375,63758.0078125
58942.8046875,62695.2890625
57953.8203125,61649.34375
56980.609375,60620.39453125
56023.296875,59608.08203125
55081.4140625,58612.4296875
54155.2578125,57632.6875
53243.98828125,56668.9375
52347.66796875,55721.1953125
51466.33203125,54788.73046875
50599.171875,53871.640625
49746.59375,52969.1875
48907.5703125,52082.15234375
48082.94140625,51209.203125
47271.578125,50350.70703125
46473.72265625,49506.68359375
45689.3203125,48676.09375
44917.578125,47859.4921875
44158.8828125,47056.44921875
43412.8671875,46266.5
42679.05078125,45489.8671875
