train_loss,valid_loss
34642172.0,32864750.0
32677406.0,32670808.0
32469896.0,32525838.0
32316390.0,32414884.0
32199766.0,32327452.0
32107252.0,32254576.0
32029306.0,32189266.0
31959262.0,32126504.0
31892490.0,32063672.0
31826418.0,31999932.0
31759996.0,31935226.0
31692914.0,31869752.0
31625196.0,31803740.0
31556980.0,31737414.0
31488386.0,31670950.0
31419500.0,31604448.0
31350344.0,31537950.0
31280896.0,31471462.0
31211136.0,31404984.0
31141088.0,31338542.0
31070814.0,31272158.0
31000402.0,31205856.0
30929938.0,31139634.0
30859492.0,31073462.0
30789114.0,31007272.0
30718800.0,30940998.0
30648548.0,30874592.0
30578344.0,30808030.0
30508174.0,30741340.0
30438056.0,30674580.0
30368018.0,30607828.0
30298088.0,30541168.0
30228296.0,30474664.0
30158664.0,30408366.0
30089182.0,30342308.0
30019856.0,30276494.0
29950668.0,30210928.0
29881610.0,30145608.0
29812692.0,30080520.0
29743926.0,30015640.0
29675312.0,29950960.0
29606876.0,29886430.0
29538612.0,29822028.0
29470522.0,29757716.0
29402608.0,29693480.0
29334850.0,29629312.0
29267252.0,29565224.0
29199820.0,29501240.0
29132556.0,29437398.0
29065464.0,29373720.0
28998548.0,29310232.0
28931810.0,29246954.0
28865246.0,29183892.0
28798850.0,29121044.0
28732620.0,29058406.0
28666556.0,28995968.0
28600664.0,28933714.0
28534938.0,28871624.0
28469388.0,28809686.0
28404010.0,28747880.0
28338802.0,28686198.0
28273756.0,28624632.0
28208882.0,28563190.0
28144172.0,28501878.0
28079630.0,28440716.0
28015254.0,28379714.0
27951048.0,28318878.0
27887002.0,28258226.0
27823124.0,28197756.0
27759410.0,28137466.0
27695860.0,28077354.0
27632474.0,28017408.0
27569252.0,27957626.0
27506186.0,27897994.0
27443286.0,27838502.0
27380550.0,27779148.0
27317972.0,27719922.0
27255554.0,27660832.0
27193296.0,27601884.0
27131198.0,27543080.0
27069258.0,27484426.0
27007474.0,27425930.0
26945850.0,27367594.0
26884384.0,27309422.0
26823074.0,27251406.0
26761920.0,27193548.0
26700926.0,27135850.0
26640082.0,27078296.0
26579394.0,27020886.0
26518864.0,26963614.0
26458484.0,26906478.0
26398260.0,26849480.0
26338188.0,26792622.0
26278270.0,26735902.0
26218506.0,26679326.0
26158890.0,26622904.0
26099430.0,26566624.0
26040116.0,26510494.0
25980958.0,26454518.0
25921948.0,26398686.0
25863088.0,26342998.0
25804380.0,26287454.0
25745820.0,26232048.0
25687408.0,26176780.0
25629146.0,26121648.0
25571032.0,26066652.0
25513066.0,26011796.0
25455248.0,25957078.0
25397576.0,25902496.0
25340052.0,25848058.0
25282676.0,25793760.0
25225442.0,25739606.0
25168356.0,25685596.0
25111418.0,25631726.0
25054622.0,25577988.0
24997972.0,25524392.0
24941466.0,25470926.0
24885106.0,25417600.0
24828890.0,25364402.0
24772814.0,25311344.0
24716886.0,25258422.0
24661098.0,25205636.0
24605454.0,25152982.0
24549952.0,25100466.0
24494594.0,25048086.0
24439374.0,24995844.0
24384300.0,24943734.0
24329364.0,24891760.0
24274570.0,24839922.0
24219916.0,24788214.0
24165404.0,24736636.0
24111030.0,24685194.0
24056796.0,24633882.0
24002706.0,24582702.0
23948750.0,24531650.0
23894932.0,24480740.0
23841258.0,24429952.0
23787720.0,24379302.0
23734320.0,24328780.0
23681060.0,24278394.0
23627932.0,24228134.0
23574946.0,24178010.0
23522096.0,24128008.0
23469384.0,24078138.0
23416806.0,24028398.0
23364366.0,23978784.0
23312062.0,23929302.0
23259894.0,23879948.0
23207860.0,23830722.0
23155964.0,23781628.0
23104198.0,23732658.0
23052570.0,23683818.0
23001078.0,23635108.0
22949718.0,23586524.0
22898490.0,23538062.0
22847398.0,23489732.0
22796442.0,23441530.0
22745614.0,23393448.0
22694922.0,23345494.0
22644362.0,23297664.0
22593936.0,23249966.0
22543640.0,23202388.0
22493476.0,23154936.0
22443444.0,23107612.0
22393544.0,23060408.0
22343774.0,23013332.0
22294138.0,22966380.0
22244628.0,22919546.0
22195252.0,22872842.0
22146004.0,22826260.0
22096888.0,22779804.0
22047900.0,22733468.0
21999044.0,22687258.0
21950316.0,22641162.0
21901714.0,22595196.0
21853244.0,22549350.0
21804902.0,22503624.0
21756686.0,22458024.0
21708602.0,22412540.0
21660644.0,22367180.0
21612810.0,22321940.0
21565108.0,22276826.0
21517532.0,22231826.0
21470082.0,22186946.0
21422762.0,22142192.0
21375564.0,22097554.0
21328492.0,22053038.0
21281548.0,22008636.0
21234732.0,21964360.0
21188038.0,21920194.0
21141468.0,21876154.0
21095026.0,21832232.0
21048708.0,21788426.0
21002514.0,21744742.0
20956442.0,21701170.0
20910498.0,21657722.0
20864672.0,21614386.0
20818978.0,21571168.0
20773402.0,21528068.0
20727950.0,21485086.0
20682622.0,21442222.0
20637416.0,21399468.0
20592332.0,21356834.0
20547368.0,21314316.0
20502530.0,21271914.0
20457812.0,21229626.0
20413216.0,21187456.0
20368742.0,21145400.0
20324386.0,21103460.0
20280156.0,21061630.0
20236042.0,21019916.0
20192048.0,20978316.0
20148178.0,20936834.0
20104426.0,20895462.0
20060794.0,20854202.0
20017282.0,20813060.0
19973888.0,20772028.0
19930614.0,20731110.0
19887460.0,20690304.0
19844422.0,20649612.0
19801502.0,20609032.0
19758704.0,20568562.0
19716020.0,20528206.0
19673456.0,20487960.0
19631006.0,20447826.0
19588678.0,20407804.0
19546466.0,20367892.0
19504370.0,20328090.0
19462390.0,20288398.0
19420524.0,20248818.0
19378782.0,20209350.0
19337150.0,20169992.0
19295636.0,20130740.0
19254238.0,20091598.0
19212952.0,20052570.0
19171782.0,20013644.0
19130728.0,19974832.0
19089790.0,19936128.0
19048964.0,19897532.0
19008254.0,19859046.0
18967658.0,19820666.0
18927174.0,19782394.0
18886804.0,19744230.0
18846550.0,19706170.0
18806406.0,19668226.0
18766378.0,19630382.0
18726460.0,19592646.0
18686654.0,19555018.0
18646960.0,19517496.0
18607380.0,19480080.0
18567914.0,19442768.0
18528554.0,19405566.0
18489310.0,19368468.0
18450180.0,19331474.0
18411152.0,19294586.0
18372240.0,19257804.0
18333440.0,19221126.0
18294748.0,19184554.0
18256166.0,19148084.0
18217696.0,19111720.0
18179332.0,19075460.0
18141080.0,19039300.0
18102936.0,19003248.0
18064902.0,18967300.0
18026980.0,18931452.0
17989162.0,18895706.0
17951454.0,18860064.0
17913854.0,18824526.0
17876362.0,18789092.0
17838978.0,18753758.0
17801704.0,18718526.0
17764532.0,18683396.0
17727472.0,18648368.0
17690516.0,18613442.0
17653668.0,18578616.0
17616928.0,18543892.0
17580294.0,18509268.0
17543764.0,18474744.0
17507340.0,18440322.0
17471022.0,18405998.0
17434810.0,18371778.0
17398704.0,18337654.0
17362704.0,18303630.0
17326808.0,18269706.0
17291014.0,18235882.0
17255326.0,18202156.0
17219744.0,18168530.0
17184264.0,18135002.0
17148888.0,18101572.0
17113618.0,18068240.0
17078450.0,18035008.0
17043386.0,18001870.0
17008424.0,17968834.0
16973564.0,17935894.0
16938808.0,17903048.0
16904150.0,17870304.0
16869602.0,17837654.0
16835152.0,17805100.0
16800802.0,17772646.0
16766555.0,17740286.0
16732412.0,17708022.0
16698369.0,17675854.0
16664425.0,17643784.0
16630584.0,17611804.0
16596841.0,17579924.0
16563198.0,17548136.0
16529657.0,17516446.0
16496217.0,17484850.0
16462874.0,17453348.0
16429632.0,17421938.0
16396489.0,17390624.0
16363446.0,17359406.0
16330501.0,17328282.0
16297656.0,17297248.0
16264908.0,17266306.0
16232258.0,17235462.0
16199707.0,17204708.0
16167252.0,17174048.0
16134897.0,17143482.0
16102642.0,17113004.0
16070479.0,17082622.0
16038415.0,17052334.0
16006450.0,17022134.0
15974580.0,16992026.0
15942805.0,16962010.0
15911130.0,16932088.0
15879549.0,16902252.0
15848063.0,16872510.0
15816674.0,16842856.0
15785381.0,16813294.0
15754182.0,16783822.0
15723076.0,16754443.0
15692069.0,16725155.0
15661157.0,16695956.0
15630339.0,16666841.0
15599612.0,16637819.0
15568981.0,16608883.0
15538444.0,16580039.0
15508000.0,16551280.0
15477647.0,16522616.0
15447392.0,16494039.0
15417229.0,16465550.0
15387161.0,16437148.0
15357182.0,16408832.0
15327296.0,16380608.0
15297504.0,16352464.0
15267802.0,16324413.0
15238194.0,16296450.0
15208677.0,16268572.0
15179253.0,16240780.0
15149917.0,16213079.0
15120675.0,16185461.0
15091525.0,16157929.0
15062463.0,16130480.0
15033489.0,16103124.0
15004611.0,16075846.0
14975819.0,16048659.0
14947120.0,16021554.0
14918510.0,15994534.0
14889987.0,15967599.0
14861556.0,15940748.0
14833213.0,15913986.0
14804962.0,15887306.0
14776796.0,15860713.0
14748721.0,15834199.0
14720732.0,15807773.0
14692837.0,15781424.0
14665023.0,15755164.0
14637300.0,15728985.0
14609663.0,15702889.0
14582117.0,15676879.0
14554656.0,15650947.0
14527280.0,15625102.0
14499994.0,15599338.0
14472793.0,15573657.0
14445681.0,15548055.0
14418654.0,15522534.0
14391712.0,15497098.0
14364858.0,15471741.0
14338087.0,15446466.0
14311404.0,15421273.0
14284805.0,15396160.0
14258290.0,15371128.0
14231863.0,15346176.0
14205517.0,15321304.0
14179257.0,15296514.0
14153085.0,15271801.0
14126992.0,15247173.0
14100988.0,15222620.0
14075065.0,15198149.0
14049224.0,15173760.0
14023472.0,15149442.0
13997798.0,15125204.0
13972206.0,15101048.0
13946701.0,15076967.0
13921276.0,15052969.0
13895935.0,15029045.0
13870674.0,15005204.0
13845499.0,14981442.0
13820405.0,14957752.0
13795393.0,14934144.0
13770462.0,14910607.0
13745609.0,14887152.0
13720843.0,14863769.0
13696154.0,14840468.0
13671547.0,14817241.0
13647021.0,14794091.0
13622575.0,14771020.0
13598208.0,14748025.0
13573925.0,14725104.0
13549720.0,14702258.0
13525594.0,14679486.0
13501547.0,14656788.0
